,Name,Cuisines,City,Rating,NumberOfReviews
170,Shubaikah Cafe ,International,Makkah,4.5,16
171,50 Degrees Espresso House ,"Cafe, Coffee & Tea, Desserts",Makkah,4.7,23
172,Al Masaa Cafe ,"Cafe, Coffee & Tea, Desserts",Riyadh,4.5,32
173,Swinging Cafe ,"Breakfast, Cafe, Coffee & Tea",Makkah,4.7,6
175,Falla ,International,Riyadh,4.7,32
176,Chez Bruno ,French,Riyadh,4.5,23
177,Zafran Indian Bistro ,Indian,Riyadh,4.7,25
178,Ashar Breeze Cafe ,"Cafe, Coffee & Tea, Desserts",AlUla,4.5,13
179,Scott's ,British,Riyadh,4.7,20
180,Draft Cafe ,"Cafe, Coffee & Tea, Desserts",Riyadh,4.5,7
181,Via Mercato ,"International, Italian, Japanese",Riyadh,4.7,16
182,NABOB ,American,Riyadh,4.5,13
183,JW Glass Garden ,"International, Middle Eastern, Vegetarian",Riyadh,4.7,9
184,Olive Garden ,"Italian, Vegetarian",Jeddah,4.5,15
185,Mayrig ,Armenian,Riyadh,4.7,17
186,Fayoomi ,Middle Eastern,Jeddah,4.5,20
187,El Panero Fine Dining Restaurant,,Al Khobar,4.7,10
188,Entrecôte Café de Paris ,"French, Swiss",Riyadh,4.5,7
189,Circle Section ,American,Jeddah,4.7,18
190,Myazu Japanese Restaurant ,Japanese,Jeddah,4.5,20
191,Biryani Gate Restaurant ,"Indian, Pakistani",Jeddah,4.7,20
192,Le Comptoir de Nicole ,"French, Mediterranean",Jeddah,4.5,26
193,Nobu ,"Japanese, Peruvian",Jeddah,4.7,18
194,Al Bahar Fisheries ,Arabic,Jeddah,4.5,9
196,Sky View Cafe ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,27
197,Somosays Pizza ,Italian,Jeddah,4.7,22
198,Fuji Japanese Restaurant ,Japanese,Jeddah,4.5,24
199,Signature Juices ,"Juice Bar, Takeout",Jeddah,4.7,56
200,Le Maschou Restaurant ,"French, International",Riyadh,4.5,30
201,Myazu Japanese Restaurant ,Japanese,Riyadh,4.7,41
203,Cacti ,"Arabic, International",Riyadh,4.7,58
204,Café Bateel ,Arabic,Riyadh,4.5,62
205,La Brasserie ,"International, American, Asian",Riyadh,4.7,48
206,Rusafa Arabic Lebanese Middle Eastern Restaurant,"Arabic, Lebanese, Middle Eastern",Madinah,4.5,35
207,Woktime Italian Japanese Thai Restaurant ,"Italian, Japanese, Thai",Madinah,4.7,51
208,Agate International Restaurant,International,Madinah,4.5,48
209,Toscana Italian Restaurant ,Italian,Madinah,4.6,25
210,The Butcher Shop and Grill Restaurant ,"American, International",Jeddah,4.5,38
211,Century Burger Restaurant ,"American, International",Jeddah,4.6,42
212,Blue Ocean Restaurant ,American,Jeddah,4.5,50
213,The Meating Cafe & Restaurant ,"American, Italian, Spanish",Makkah,4.6,25
214,Chef Ahmed Cafe,"American, Italian, Arabic",Jazan,4.5,27
215,Caffe Aroma ,"International, Italian",Jeddah,4.6,41
216,Zafran Indian Bistro ,"Chinese, Indian, Asian",Riyadh,4.5,34
217,TSC Signature Restaurant ,"American, International",Jeddah,4.6,17
218,OKKU Japanese Restaurant ,Japanese,Riyadh,4.5,29
219,Burger Boutique ,American,Riyadh,4.6,41
220,Café Bateel ,Arabic,Riyadh,4.5,42
221,September Cafe ,International,Makkah,4.6,18
222,Zeeka Cafe ,"Coffee & Tea, Cafe, Desserts",Makkah,4.5,29
223,Brew 92 Cafe ,"Breakfast, Cafe, Coffee & Tea",Makkah,4.6,25
224,Khosh Hal Pakistani Restaurant ,Pakistani,Jeddah,4.5,58
225,Melting Burgers Restaurant ,American,Makkah,4.6,19
226,Pikniq Restaurant ,"International, French, Italian",Al Khobar,4.5,42
227,Naya Daur Indian Restaurant ,Indian,Al Khobar,4.6,39
228,Sakura Japanese Restaurant ,Japanese,Jeddah,4.5,41
